Census2002, HasNew, SOC2000, SCTSEI, SCMSEI, NTPrestige, NTTSEI, HWTOccEd, HWTOccInc, HWTSEI, HWMOccED, HWMOccInc, HWMSEI, HWFOccEd, HWFOccInc, HWFSEI 
0010, Yes, 11-1011, 51.60, 58.00, 52.71, 66.32, 74.31, 53.13, 48.35, 76.94, 63.79, 49.98, 70.68, 32.44, 44.82 
0020, Yes, 11-1021, 47.95, 55.16, 50.79, 64.55, 73.17, 53.85, 47.94, 75.61, 63.89, 49.45, 69.67, 32.09, 44.28 
0030, Yes, 11-1031, 57.09, 59.78, 60.92, 74.00, 84.29, 43.05, 50.86, 85.32, 50.00, 48.19, 84.29, 32.30, 51.05 
0040, No , 11-2011, 58.19, 61.28, 59.12, 73.03, 85.37, 61.19, 55.10, 87.21, 70.98, 56.12, 81.45, 41.79, 51.42 
0050, Yes, 11-2020, 56.40, 60.10, 58.05, 71.62, 83.57, 60.25, 54.06, 85.54, 70.02, 55.19, 79.66, 40.50, 50.35 
0060, Yes, 11-2031, 62.87, 65.23, 52.84, 73.52, 86.48, 49.87, 53.57, 87.28, 60.58, 52.61, 84.33, 36.67, 52.06 
0100, Yes, 11-3011, 49.82, 56.59, 51.90, 66.14, 74.65, 54.60, 48.88, 76.92, 64.19, 50.12, 71.36, 33.29, 45.35 
0110, Yes, 11-3021, 48.41, 55.49, 51.28, 64.92, 73.58, 54.16, 48.24, 76.04, 64.15, 49.73, 70.07, 32.64, 44.62 
0120, Yes, 11-3031, 57.34, 62.72, 56.66, 71.52, 82.09, 53.56, 51.98, 89.13, 68.31, 56.88, 73.54, 35.58, 46.57 
0130, Yes, 11-3040, 59.31, 65.44, 53.49, 68.86, 74.78, 48.79, 47.52, 77.70, 58.92, 48.36, 71.74, 37.86, 46.31 
0140, Yes, 11-3051, 47.39, 54.82, 50.65, 64.11, 72.65, 53.73, 47.66, 75.03, 63.70, 49.16, 69.29, 31.54, 44.00 
0150, No , 11-3061, 48.33, 54.65, 55.41, 68.65, 77.10, 55.26, 49.95, 79.80, 64.82, 51.20, 71.66, 35.30, 45.74 
0160, Yes, 11-3071, 47.48, 54.78, 50.39, 63.97, 72.52, 53.25, 47.50, 74.92, 63.23, 48.97, 69.12, 31.21, 43.87 
0200, Yes, 11-9011, 35.46, 35.09, 47.12, 44.46, 39.42, 19.83, 29.26, 38.51, 20.93, 26.02, 45.14, 13.61, 31.04 
0210, Yes, 11-9012, 23.62, 21.93, 39.85, 37.08, 34.48, 19.45, 27.56, 33.55, 20.38, 24.63, 40.68, 12.64, 29.26 
0220, Yes, 11-9021, 47.35, 54.79, 50.63, 64.07, 72.57, 53.74, 47.63, 74.93, 63.68, 49.13, 69.26, 31.57, 44.00 
0230, Yes, 11-9030, 78.30, 80.62, 62.24, 82.56, 85.53, 51.25, 53.47, 89.39, 66.24, 55.79, 81.70, 35.83, 50.45 
0300, No , 11-9041, 57.95, 62.44, 56.77, 72.24, 79.67, 61.51, 53.71, 81.22, 68.70, 53.84, 76.83, 42.13, 50.48 
0310, Yes, 11-9051, 47.26, 54.76, 50.64, 64.00, 80.38, 38.23, 47.80, 81.31, 40.13, 43.59, 72.51, 23.51, 43.41 
0320, Yes, 11-9061, 60.47, 58.33, 49.14, 74.00, 55.97, 18.09, 33.82, 63.41, 24.05, 32.82, 45.76, 10.81, 30.07 
0330, Yes, 11-9071, 47.26, 54.76, 50.64, 64.00, 77.38, 35.21, 45.83, 76.49, 45.02, 43.61, 78.41, 25.54, 46.41 
0340, Yes, 11-9081, 48.22, 55.03, 50.09, 63.72, 78.49, 38.43, 47.10, 79.86, 42.00, 43.76, 71.63, 24.07, 43.24 
0350, Yes, 11-9111, 55.66, 62.44, 61.31, 69.39, 76.50, 46.48, 47.90, 81.19, 60.68, 50.28, 73.45, 32.85, 46.08 
0360, Yes, 11-9121, 52.45, 58.85, 52.78, 67.31, 75.33, 54.14, 49.49, 77.72, 64.08, 50.59, 72.03, 33.18, 45.97 
0400, No , 11-9131, 39.84, 45.23, 52.85, 55.00, 60.83, 76.49, 48.68, 71.50, 88.18, 59.61, 49.00, 63.65, 43.58 
0410, Yes, 11-9141, 42.44, 47.84, 39.33, 54.54, 67.88, 37.66, 42.67, 73.53, 50.19, 44.44, 61.04, 22.93, 39.09 
0420, No , 11-9151, 50.60, 56.58, 51.08, 65.43, 77.76, 41.01, 47.51, 78.49, 50.79, 46.34, 76.66, 28.23, 46.64 
0430, Yes, 11-9199, 48.38, 55.31, 50.67, 64.33, 73.56, 51.37, 47.61, 75.94, 61.34, 48.76, 69.93, 31.06, 44.17 
0500, Yes, 13-1011, 49.26, 54.20, 51.73, 61.99, 74.37, 40.87, 45.70, 74.64, 49.78, 44.60, 73.84, 26.00, 44.52 
0510, No , 13-1021, 47.50, 50.66, 42.15, 55.40, 61.15, 33.44, 39.62, 64.33, 41.96, 39.66, 54.34, 18.28, 35.56 
0520, Yes, 13-1022, 46.75, 51.18, 47.98, 55.85, 62.60, 28.12, 38.75, 66.41, 38.00, 38.70, 58.67, 16.50, 36.44 
0530, Yes, 13-1023, 53.45, 56.24, 42.45, 62.16, 70.93, 37.15, 43.61, 74.54, 48.30, 44.12, 66.41, 23.40, 41.05 
0540, Yes, 13-1030, 54.12, 37.11, 46.51, 57.30, 69.54, 27.30, 40.73, 83.00, 45.06, 45.81, 62.36, 17.79, 37.85 
0560, Yes, 13-1041, 45.40, 48.13, 48.95, 60.77, 71.12, 42.77, 45.00, 72.52, 50.04, 44.21, 69.27, 27.61, 43.20 
0600, Yes, 13-1051, 51.29, 56.84, 49.61, 66.86, 74.64, 38.96, 45.60, 77.02, 52.93, 46.97, 72.16, 25.15, 43.67 
0620, Yes, 13-1070, 58.94, 64.98, 43.69, 63.12, 77.24, 38.78, 46.53, 78.28, 52.28, 46.42, 75.42, 28.89, 45.94 
0700, Yes, 13-1081, 65.62, 65.88, 54.09, 80.48, 87.57, 62.53, 56.92, 90.38, 71.80, 58.08, 83.86, 50.47, 54.42 
0710, Yes, 13-1111, 70.01, 71.42, 60.70, 83.00, 90.22, 59.92, 58.28, 92.14, 66.63, 57.34, 87.23, 47.07, 55.88 
0720, Yes, 13-1121, 45.15, 52.65, 48.30, 60.52, 74.39, 32.65, 44.07, 76.05, 40.76, 42.09, 72.63, 22.78, 43.37 
0730, Yes, 13-11XX, 51.85, 56.38, 48.82, 67.42, 71.66, 28.42, 41.83, 72.83, 45.96, 42.93, 70.96, 20.49, 41.91 
0800, No , 13-2011, 64.76, 70.19, 65.38, 76.00, 89.19, 41.58, 53.79, 95.81, 57.93, 57.88, 83.48, 26.50, 49.26 
0810, Yes, 13-2021, 51.74, 56.26, 48.38, 63.34, 76.91, 39.65, 46.59, 81.31, 48.51, 46.33, 71.76, 31.72, 44.95 
0820, No , 13-2031, 50.54, 58.58, 47.77, 56.70, 71.96, 31.36, 42.69, 84.71, 46.40, 47.26, 65.02, 20.31, 39.57 
0830, No , 13-2041, 62.99, 68.14, 55.82, 70.93, 84.75, 41.85, 51.14, 93.22, 58.48, 55.70, 76.74, 25.96, 46.03 
0840, Yes, 13-2051, 62.17, 66.71, 48.86, 68.24, 81.83, 43.57, 49.70, 91.01, 59.55, 54.13, 72.14, 26.82, 44.06 
0850, Yes, 13-2052, 59.59, 61.94, 48.11, 69.63, 80.68, 46.24, 49.86, 86.62, 57.46, 51.47, 70.82, 29.08, 44.13 
0860, No , 13-2053, 53.76, 55.67, 47.14, 60.69, 74.71, 39.31, 45.58, 88.99, 57.90, 52.73, 65.61, 27.61, 41.80 
0900, Yes, 13-2061, 63.33, 68.50, 64.01, 75.14, 88.07, 42.31, 53.32, 94.33, 58.08, 57.10, 82.59, 27.21, 48.99 
0910, Yes, 13-2070, 60.34, 65.49, 47.73, 65.84, 79.84, 39.95, 47.98, 89.90, 56.78, 52.80, 70.46, 24.32, 42.75 
0930, No , 13-2081, 59.39, 63.77, 60.17, 72.55, 85.03, 44.37, 52.00, 90.53, 58.54, 55.02, 79.74, 29.25, 48.09 
0940, No , 13-2082, 61.62, 66.54, 48.40, 67.00, 81.31, 42.07, 49.09, 91.21, 58.90, 54.01, 71.50, 25.54, 43.52 
0950, Yes, 13-2099, 51.00, 56.24, 43.88, 58.03, 70.06, 33.05, 42.72, 79.24, 46.83, 46.04, 62.04, 20.15, 38.52 
1000, Yes, 15-10XX, 68.94, 70.17, 69.55, 80.89, 90.13, 67.85, 61.05, 91.36, 72.61, 59.96, 87.61, 57.43, 58.98 
1010, Yes, 15-1021, 64.94, 63.08, 59.96, 73.43, 90.10, 56.81, 57.90, 91.10, 61.05, 54.98, 87.99, 48.93, 57.07 
1020, Yes, 15-1030, 73.58, 74.30, 72.86, 84.26, 93.15, 72.37, 64.05, 94.02, 76.01, 62.54, 90.95, 63.42, 62.00 
1040, Yes, 15-1041, 73.65, 74.16, 73.17, 84.70, 93.15, 72.02, 63.94, 93.94, 75.59, 62.25, 91.37, 61.87, 62.09 
1060, Yes, 15-1061, 73.06, 73.92, 73.70, 84.00, 93.15, 71.50, 63.81, 94.10, 75.40, 62.33, 91.21, 62.71, 62.08 
1100, Yes, 15-1071, 56.68, 61.76, 59.06, 71.31, 80.05, 60.23, 53.52, 81.88, 67.94, 53.92, 77.25, 42.86, 50.57 
1110, Yes, 15-1081, 74.70, 75.13, 71.06, 84.83, 93.15, 74.22, 64.57, 93.84, 77.33, 62.99, 90.37, 64.93, 61.84 
1200, No , 15-2011, 80.37, 84.37, 44.47, 90.00, 97.07, 76.49, 71.80, 99.02, 84.29, 76.35, 92.13, 61.77, 62.89 
1210, No , 15-2021, 84.39, 84.33, 63.46, 92.00, 95.12, 78.41, 68.34, 96.08, 83.34, 68.36, 92.13, 65.70, 63.69 
1220, No , 15-2031, 64.77, 65.16, 53.01, 79.84, 87.10, 61.63, 56.35, 90.12, 71.42, 57.77, 83.18, 49.79, 53.82 
1230, No , 15-2041, 65.12, 71.45, 55.57, 75.00, 89.19, 49.00, 55.29, 94.10, 63.65, 57.93, 84.29, 35.21, 51.67 
1240, Yes, 15-2090, 58.37, 57.17, 46.99, 71.13, 78.85, 44.70, 49.65, 79.26, 51.93, 48.29, 78.63, 31.06, 48.11 
1300, No , 17-1010, 78.54, 76.68, 72.33, 83.17, 93.51, 58.06, 61.66, 93.51, 61.83, 57.02, 94.53, 37.64, 61.75 
1310, No , 17-1020, 46.18, 45.59, 48.46, 59.92, 73.40, 43.47, 46.69, 74.09, 47.68, 44.30, 73.04, 28.46, 44.78 
1320, Yes, 17-2011, 83.53, 83.22, 71.55, 83.05, 95.12, 87.17, 71.46, 96.08, 88.16, 71.51, 92.13, 69.61, 64.53 
1330, Yes, 17-2021, 78.99, 77.99, 59.54, 86.00, 87.21, 69.64, 58.17, 86.29, 68.57, 54.75, 99.02, 84.29, 85.44 
1340, Yes, 17-2031, 70.56, 70.63, 65.57, 82.28, 89.19, 65.95, 60.29, 90.44, 70.46, 58.46, 87.36, 50.45, 57.87 
1350, Yes, 17-2041, 87.14, 85.39, 73.30, 93.00, 95.12, 83.34, 69.92, 95.12, 84.29, 67.70, 96.08, 73.50, 71.21 
1360, Yes, 17-2051, 76.10, 74.61, 68.34, 86.32, 92.75, 73.43, 64.07, 91.76, 74.42, 60.21, 92.78, 57.92, 62.99 
1400, No , 17-2061, 75.96, 75.59, 69.37, 86.32, 92.74, 75.36, 64.44, 93.02, 77.47, 62.36, 91.20, 63.30, 62.36 
1410, Yes, 17-2070, 78.97, 78.27, 64.19, 87.00, 93.15, 81.31, 66.55, 93.15, 82.35, 64.72, 88.18, 70.68, 61.21 
1420, Yes, 17-2081, 77.08, 75.75, 69.46, 87.56, 93.30, 74.41, 64.81, 92.73, 75.84, 61.41, 92.74, 58.44, 62.96 
1430, Yes, 17-2110, 72.09, 71.63, 64.08, 80.53, 88.32, 68.90, 59.22, 89.01, 72.25, 57.72, 83.92, 47.83, 54.53 
1440, Yes, 17-2121, 69.43, 69.17, 55.95, 65.28, 73.20, 65.04, 50.93, 74.90, 66.91, 50.83, 77.59, 70.67, 56.97 
1450, No , 17-2131, 79.31, 78.63, 63.39, 87.33, 89.95, 74.19, 61.77, 90.10, 76.27, 60.08, 91.81, 56.46, 62.49 
1460, Yes, 17-2141, 76.69, 76.03, 64.55, 86.13, 90.39, 77.20, 62.56, 90.39, 77.33, 60.38, 93.09, 67.08, 65.03 
1500, Yes, 17-2151, 75.97, 74.81, 59.79, 84.52, 88.31, 71.05, 59.28, 88.31, 72.01, 57.04, 81.19, 58.40, 54.74 
1510, No , 17-2161, 83.02, 81.74, 63.30, 91.00, 95.12, 85.32, 70.66, 95.12, 87.21, 69.60, 89.19, 64.79, 60.72 
1520, Yes, 17-2171, 82.32, 80.55, 65.85, 89.00, 92.13, 77.38, 64.27, 92.13, 78.41, 62.01, 83.34, 60.83, 55.98 
1530, No , 17-2199, 76.62, 75.55, 69.90, 87.79, 93.07, 75.16, 64.73, 93.07, 77.09, 62.16, 91.55, 59.30, 61.94 
1540, Yes, 17-3010, 48.34, 46.13, 51.38, 61.85, 78.13, 36.26, 46.36, 78.14, 39.08, 42.21, 79.09, 22.54, 45.97 
1550, Yes, 17-3020, 46.11, 45.64, 54.75, 61.10, 74.56, 42.53, 46.20, 75.82, 46.78, 44.00, 68.69, 26.31, 42.48 
1560, Yes, 17-3031, 41.19, 38.44, 40.05, 52.50, 66.47, 32.61, 41.22, 66.39, 34.14, 37.42, 70.45, 23.99, 42.50 
1600, Yes, 19-1010, 69.86, 68.63, 60.42, 74.76, 85.38, 39.15, 51.42, 86.34, 43.18, 47.18, 85.23, 28.23, 51.24 
1610, Yes, 19-1020, 75.33, 75.31, 70.97, 82.86, 94.96, 43.87, 61.79, 95.85, 48.73, 56.21, 94.31, 36.17, 61.56 
1640, Yes, 19-1030, 50.18, 48.71, 54.26, 71.84, 83.93, 42.37, 50.54, 84.44, 47.29, 47.05, 85.83, 22.40, 49.81 
1650, Yes, 19-1040, 77.12, 77.27, 65.32, 85.11, 98.68, 50.28, 73.21, 98.79, 55.22, 64.13, 98.47, 43.52, 74.72 
1700, Yes, 19-2010, 87.00, 85.16, 73.48, 91.00, 96.08, 73.50, 68.77, 97.07, 77.38, 66.98, 92.13, 46.01, 59.92 
1710, Yes, 19-2021, 74.58, 77.70, 63.39, 79.00, 93.15, 65.70, 62.45, 93.15, 69.64, 59.14, 89.19, 37.29, 55.46 
1720, No , 19-2030, 77.51, 75.31, 73.01, 86.77, 93.84, 58.78, 62.08, 93.83, 63.51, 57.78, 94.86, 45.88, 63.68 
1740, Yes, 19-2040, 82.49, 82.00, 69.76, 86.17, 94.86, 58.33, 65.33, 95.34, 61.55, 59.58, 93.75, 47.04, 63.68 
1760, Yes, 19-2099, 62.27, 60.83, 54.27, 73.38, 82.07, 43.51, 51.72, 81.52, 48.79, 47.86, 82.93, 31.15, 51.42 
1800, No , 19-3011, 78.27, 79.57, 62.86, 85.00, 98.04, 56.95, 70.46, 98.04, 69.64, 65.98, 98.04, 41.10, 70.39 
1810, Yes, 19-3020, 73.01, 73.36, 58.58, 81.31, 93.07, 52.95, 65.33, 92.88, 64.28, 61.19, 93.45, 37.50, 65.25 
1820, Yes, 19-3030, 82.48, 81.06, 69.39, 83.00, 99.02, 55.97, 75.58, 99.02, 61.77, 66.93, 99.02, 51.00, 77.77 
1830, No , 19-3041, 78.33, 73.79, 60.75, 80.00, 99.02, 44.03, 73.23, 99.02, 54.98, 64.71, 99.02, 32.30, 74.14 
1840, No , 19-3051, 69.44, 66.61, 48.21, 78.83, 86.36, 51.43, 55.85, 86.65, 57.22, 53.06, 85.79, 38.26, 54.30 
1860, Yes, 19-3090, 73.39, 72.01, 64.20, 77.26, 97.21, 40.06, 66.29, 97.12, 47.85, 58.24, 97.25, 31.44, 67.56 
1900, Yes, 19-4011, 39.11, 37.60, 32.82, 53.07, 61.44, 26.85, 38.03, 60.68, 32.56, 35.52, 63.04, 18.92, 38.64 
1910, Yes, 19-4021, 40.44, 40.40, 38.26, 52.51, 63.42, 23.63, 37.74, 64.63, 30.43, 35.70, 64.14, 16.53, 38.13 
1920, Yes, 19-4031, 49.45, 46.96, 37.75, 61.67, 64.62, 45.12, 43.09, 63.50, 49.07, 41.61, 66.43, 31.37, 42.98 
1930, Yes, 19-4041, 46.88, 46.85, 43.16, 58.94, 72.16, 34.46, 43.61, 73.83, 42.69, 42.20, 69.02, 20.24, 41.07 
1940, Yes, 19-4051, 51.02, 47.55, 40.99, 65.72, 72.55, 36.19, 44.04, 71.62, 41.99, 41.35, 74.31, 22.42, 43.82 
1960, Yes, 19-40XX, 49.31, 46.73, 42.51, 64.03, 72.29, 35.07, 43.78, 72.05, 41.11, 41.23, 73.06, 21.22, 43.07 
2000, Yes, 21-1010, 72.46, 70.59, 56.41, 75.98, 89.48, 40.29, 56.15, 91.04, 45.97, 51.41, 89.08, 36.34, 57.76 
2010, Yes, 21-1020, 67.21, 65.96, 52.94, 70.68, 87.60, 29.78, 50.90, 88.42, 37.09, 46.09, 86.73, 24.94, 51.85 
2020, Yes, 21-1090, 54.47, 57.63, 50.41, 62.89, 77.23, 30.06, 45.27, 80.31, 38.12, 43.11, 75.97, 22.91, 45.24 
2040, No , 21-2011, 65.60, 61.88, 67.73, 73.57, 88.86, 16.61, 47.27, 89.97, 17.75, 38.47, 86.84, 11.86, 46.79 
2050, No , 21-2021, 63.76, 60.96, 62.51, 71.72, 87.45, 16.42, 46.31, 88.96, 18.15, 38.18, 85.24, 12.06, 45.95 
2060, Yes, 21-2099, 57.08, 57.61, 43.55, 65.00, 82.35, 15.71, 42.81, 85.32, 19.62, 37.13, 79.41, 12.79, 42.90 
2100, Yes, 23-1011, 86.97, 85.83, 73.92, 91.01, 98.09, 75.69, 79.11, 98.17, 79.79, 73.34, 97.97, 65.36, 79.53 
2110, Yes, 23-102X, 65.24, 67.69, 62.39, 78.16, 85.58, 62.02, 57.54, 87.56, 70.62, 57.67, 80.66, 45.51, 53.80 
2140, Yes, 23-2011, 50.36, 52.68, 58.59, 63.66, 79.83, 36.20, 49.85, 84.63, 44.71, 48.28, 77.82, 30.56, 50.12 
2150, Yes, 23-2090, 57.49, 59.84, 62.36, 68.68, 84.63, 43.07, 56.09, 88.74, 51.58, 53.78, 83.30, 37.58, 56.79 
2200, Yes, 25-1000, 69.16, 67.87, 65.01, 77.19, 89.95, 46.03, 59.48, 90.57, 53.82, 54.96, 89.06, 36.19, 58.71 
2300, Yes, 25-2010, 58.51, 50.32, 54.93, 57.00, 74.46, 8.79, 36.03, 83.34, 19.62, 36.36, 74.46, 8.79, 38.80 
2310, Yes, 25-2020, 70.88, 68.99, 64.06, 78.97, 94.09, 48.00, 60.09, 97.03, 59.81, 60.38, 93.14, 44.01, 60.68 
2320, Yes, 25-2030, 74.79, 72.68, 66.04, 79.72, 95.87, 51.66, 63.82, 96.85, 58.61, 59.85, 94.90, 46.65, 63.79 
2330, No , 25-2040, 67.24, 65.19, 64.31, 76.12, 92.44, 45.83, 58.21, 95.74, 57.94, 58.52, 91.47, 42.03, 58.92 
2340, Yes, 25-3000, 61.02, 59.35, 55.14, 70.22, 87.25, 38.40, 53.61, 87.95, 47.17, 49.85, 86.28, 30.77, 53.48 
2400, Yes, 25-4010, 55.40, 56.15, 51.46, 68.08, 79.98, 39.50, 48.10, 80.35, 47.06, 45.56, 79.17, 26.81, 47.61 
2430, Yes, 25-4021, 65.46, 65.23, 54.42, 72.00, 87.21, 31.43, 50.17, 94.10, 37.29, 49.43, 85.32, 29.32, 51.01 
2440, Yes, 25-4031, 46.70, 44.01, 32.77, 55.85, 68.02, 15.06, 35.18, 72.68, 17.57, 29.61, 67.00, 10.75, 36.09 
2540, Yes, 25-9041, 30.65, 38.45, 41.40, 37.28, 52.80, 9.65, 29.02, 70.35, 16.91, 30.82, 50.28, 8.45, 30.05 
2550, Yes, 25-90XX, 56.84, 55.65, 48.08, 65.00, 82.98, 33.06, 47.98, 84.37, 43.59, 45.91, 81.57, 26.14, 48.09 
2600, Yes, 27-1010, 51.88, 51.38, 49.05, 61.51, 75.65, 29.21, 43.80, 74.51, 36.26, 40.23, 75.72, 20.11, 43.96 
2630, Yes, 27-1020, 48.90, 53.29, 46.84, 61.24, 74.40, 35.14, 44.55, 79.69, 48.25, 45.63, 70.02, 22.98, 42.26 
2700, No , 27-2011, 49.71, 53.50, 54.74, 68.60, 84.97, 41.87, 51.97, 85.50, 44.76, 47.05, 85.64, 38.21, 54.36 
2710, Yes, 27-2012, 50.52, 55.72, 55.31, 69.42, 84.32, 46.63, 52.28, 84.84, 51.68, 48.99, 84.27, 37.83, 53.18 
2720, Yes, 27-2020, 66.48, 64.64, 62.76, 74.85, 90.57, 43.48, 56.67, 92.91, 53.83, 55.91, 89.75, 38.52, 57.11 
2740, No , 27-2030, 29.83, 41.20, 53.49, 44.00, 52.00, 22.62, 33.98, 60.83, 26.50, 33.27, 49.00, 21.59, 34.92 
2750, No , 27-2040, 45.57, 40.70, 46.61, 56.90, 76.31, 34.21, 45.11, 72.42, 36.28, 39.61, 83.08, 29.26, 49.73 
2760, Yes, 27-2099, 56.00, 56.29, 37.71, 54.00, 75.05, 32.40, 44.40, 72.59, 39.05, 40.80, 76.78, 26.56, 46.14 
2800, Yes, 27-3010, 49.10, 48.54, 49.02, 55.16, 67.28, 22.83, 38.98, 70.14, 25.80, 35.12, 69.61, 19.74, 41.47 
2810, Yes, 27-3020, 66.56, 68.78, 59.33, 74.33, 90.23, 37.76, 54.24, 92.18, 45.45, 50.87, 89.18, 31.05, 54.51 
2820, Yes, 27-3031, 67.26, 68.94, 47.83, 74.03, 87.32, 41.02, 52.35, 87.37, 52.82, 50.02, 86.39, 32.28, 52.36 
2830, No , 27-3041, 66.14, 68.19, 59.04, 75.02, 90.92, 39.35, 54.81, 92.68, 47.22, 51.54, 89.99, 32.39, 55.12 
2840, Yes, 27-3042, 60.19, 59.48, 54.96, 77.91, 89.71, 49.13, 56.00, 90.66, 59.42, 54.09, 88.72, 39.10, 55.75 
2850, No , 27-3043, 70.02, 69.98, 61.44, 75.51, 92.31, 39.56, 56.38, 92.85, 47.53, 51.77, 92.01, 32.00, 57.20 
2860, Yes, 27-3090, 48.81, 50.08, 51.54, 60.31, 75.88, 37.17, 46.04, 77.46, 43.98, 44.03, 71.67, 26.10, 44.16 
2900, Yes, 27-4010, 50.28, 48.94, 46.18, 63.09, 73.93, 42.98, 47.02, 73.96, 47.07, 44.48, 72.92, 30.63, 45.31 
2910, Yes, 27-4021, 43.15, 42.93, 47.30, 59.11, 74.37, 30.72, 43.50, 76.29, 35.35, 40.31, 67.48, 18.38, 39.93 
2920, Yes, 27-4030, 43.77, 43.66, 46.14, 59.27, 73.81, 30.44, 43.43, 75.54, 35.53, 40.35, 68.36, 18.07, 40.41 
2960, Yes, 27-4099, 37.11, 38.20, 44.06, 49.62, 68.79, 31.46, 41.62, 69.90, 36.06, 38.92, 65.89, 17.65, 39.24 
3000, No , 29-1011, 79.58, 77.48, 50.44, 87.00, 89.19, 56.95, 56.86, 95.12, 68.57, 60.65, 73.50, 29.32, 45.21 
3010, Yes, 29-1020, 89.57, 88.49, 71.79, 96.00, 98.04, 83.34, 77.08, 99.02, 86.29, 77.58, 97.07, 64.79, 71.61 
3030, Yes, 29-1031, 43.38, 39.56, 55.61, 55.00, 69.64, 22.62, 39.65, 56.95, 23.51, 31.19, 71.50, 22.62, 42.76 
3040, No , 29-1041, 85.73, 84.16, 67.16, 93.00, 98.04, 78.41, 75.50, 98.04, 81.31, 71.04, 95.12, 62.71, 67.04 
3050, No , 29-1051, 81.10, 80.35, 68.32, 89.00, 94.10, 71.50, 65.06, 97.07, 76.49, 66.54, 90.20, 63.65, 61.36 
3060, Yes, 29-1060, 88.26, 87.09, 86.01, 96.98, 99.01, 77.38, 80.50, 99.01, 81.30, 74.69, 98.03, 63.63, 74.67 
3110, Yes, 29-1071, 54.08, 53.87, 59.69, 51.67, 76.44, 25.13, 42.94, 82.38, 31.67, 41.07, 70.90, 19.66, 41.37 
3120, Yes, 29-1081, 82.89, 81.94, 64.86, 91.00, 98.04, 76.49, 74.94, 99.02, 79.41, 73.75, 91.21, 45.02, 58.72 
3130, Yes, 29-1111, 46.00, 45.57, 66.06, 72.24, 93.12, 52.22, 60.42, 92.20, 57.16, 54.42, 93.01, 52.21, 62.90 
3140, No , 29-1121, 59.94, 56.93, 60.76, 76.00, 97.07, 54.98, 66.92, 96.08, 66.60, 61.18, 97.07, 53.99, 69.52 
3150, Yes, 29-1122, 59.94, 56.93, 55.97, 74.00, 94.10, 48.00, 60.08, 83.34, 51.00, 47.72, 96.08, 47.00, 65.89 
3160, Yes, 29-1123, 59.94, 56.93, 61.45, 73.96, 90.19, 54.85, 57.24, 92.12, 61.64, 55.60, 89.18, 51.87, 58.23 
3200, Yes, 29-1124, 41.08, 46.97, 58.83, 60.36, 86.47, 30.90, 49.51, 85.76, 42.88, 46.17, 86.38, 26.23, 50.95 
3210, No , 29-1125, 59.94, 56.93, 62.36, 64.00, 88.18, 25.54, 49.42, 90.20, 31.43, 44.48, 87.21, 23.51, 50.90 
3220, Yes, 29-1126, 59.94, 56.93, 62.99, 61.00, 92.13, 34.30, 54.92, 92.13, 43.05, 49.73, 91.21, 28.50, 55.33 
3230, No , 29-1127, 59.94, 56.93, 60.76, 76.00, 97.07, 54.98, 66.92, 96.08, 66.60, 61.18, 97.07, 53.99, 69.52 
3240, Yes, 29-1129, 58.77, 55.81, 60.94, 63.10, 86.57, 25.52, 48.78, 88.66, 31.30, 43.90, 85.55, 23.53, 50.26 
3250, Yes, 29-1131, 86.60, 85.46, 62.28, 90.00, 98.04, 58.90, 70.86, 99.02, 65.70, 68.26, 98.04, 39.17, 70.01 
3260, No , 29-1199, 84.12, 82.50, 69.00, 92.21, 94.32, 67.60, 69.20, 97.16, 75.21, 67.99, 86.29, 47.21, 60.58 
3300, Yes, 29-2010, 52.86, 51.68, 66.62, 62.60, 79.45, 25.60, 44.63, 81.55, 31.97, 40.90, 78.16, 23.39, 45.90 
