Census2002, HasNew, SOC2000, SCTSEI, SCMSEI, NTPrestige, NTTSEI, HWTOccEd, HWTOccInc, HWTSEI, HWMOccED, HWMOccInc, HWMSEI, HWFOccEd, HWFOccInc, HWFSEI 
3310, No , 29-2021, 67.25, 53.47, 52.23, 74.00, 97.07, 49.00, 65.75, 91.21, 53.99, 52.45, 97.07, 49.00, 68.60 
3320, Yes, 29-2030, 44.17, 48.12, 59.59, 59.90, 81.85, 28.00, 46.43, 82.79, 38.35, 43.48, 81.23, 23.34, 47.47 
3400, No , 29-2041, 47.21, 50.31, 57.49, 51.18, 70.71, 17.53, 38.40, 78.10, 26.53, 37.63, 67.12, 12.48, 37.47 
3410, Yes, 29-2050, 36.83, 38.37, 51.27, 43.70, 57.71, 13.44, 32.56, 66.54, 20.89, 32.06, 55.25, 10.64, 32.88 
3500, No , 29-2061, 25.11, 26.37, 58.81, 43.04, 70.32, 15.27, 37.60, 75.89, 22.88, 35.52, 69.19, 14.30, 39.38 
3510, No , 29-2071, 48.89, 52.12, 49.15, 56.93, 62.66, 13.30, 33.61, 75.68, 21.54, 34.03, 61.05, 11.32, 34.99 
3520, Yes, 29-2081, 28.69, 30.26, 37.54, 43.54, 53.42, 17.73, 32.88, 57.37, 28.80, 33.39, 50.32, 7.47, 29.52 
3530, Yes, 29-2090, 42.30, 46.58, 51.98, 50.44, 65.35, 17.63, 37.24, 73.44, 27.13, 37.06, 61.89, 12.19, 36.02 
3540, Yes, 29-9000, 47.98, 50.90, 54.74, 58.52, 71.67, 29.03, 41.46, 77.43, 37.46, 41.00, 69.30, 19.80, 40.41 
3600, Yes, 31-1010, 24.02, 22.18, 42.46, 30.13, 39.83, 9.66, 25.18, 55.04, 14.65, 26.09, 36.91, 9.61, 26.49 
3610, Yes, 31-2010, 30.87, 34.28, 52.39, 40.68, 48.32, 11.08, 28.67, 59.91, 19.48, 29.99, 45.45, 8.38, 28.62 
3620, Yes, 31-2020, 25.38, 27.23, 48.63, 35.05, 40.40, 9.55, 25.43, 53.99, 16.69, 27.16, 37.49, 8.09, 25.88 
3630, No , 31-9011, 28.38, 26.67, 25.41, 34.00, 42.07, 9.80, 26.10, 48.00, 11.82, 22.77, 39.17, 8.79, 26.90 
3640, No , 31-9091, 27.15, 34.22, 44.56, 40.00, 56.95, 6.85, 28.65, 66.60, 19.62, 31.55, 56.95, 6.85, 31.25 
3650, Yes, 31-909X, 26.69, 27.95, 41.69, 35.29, 43.19, 10.90, 26.79, 54.78, 17.68, 27.63, 40.20, 8.99, 27.08 
3700, Yes, 33-1011, 34.55, 33.66, 51.44, 58.87, 70.61, 47.27, 45.73, 73.91, 52.99, 45.52, 61.14, 27.38, 40.16 
3710, Yes, 33-1012, 38.97, 39.76, 56.94, 65.40, 75.16, 56.65, 49.34, 77.01, 61.75, 49.20, 66.89, 34.65, 43.79 
3720, Yes, 33-1021, 33.20, 33.47, 56.49, 58.13, 71.13, 48.92, 46.18, 71.69, 50.31, 44.00, 75.07, 34.51, 46.95 
3730, Yes, 33-1099, 29.15, 27.31, 41.69, 49.90, 58.16, 29.20, 37.45, 59.30, 31.71, 34.63, 54.93, 19.95, 36.16 
3740, Yes, 33-2011, 33.13, 33.43, 53.04, 52.31, 65.01, 34.84, 41.06, 65.03, 35.85, 37.67, 70.48, 20.94, 41.87 
3750, Yes, 33-2020, 38.45, 38.52, 56.63, 55.63, 66.82, 41.34, 43.16, 67.65, 44.23, 41.16, 63.27, 23.04, 39.86 
3800, Yes, 33-3010, 24.92, 22.42, 40.67, 46.84, 55.47, 27.93, 36.45, 54.82, 29.07, 32.95, 58.33, 20.04, 37.40 
3820, Yes, 33-3021, 37.62, 36.72, 58.69, 61.83, 75.03, 49.09, 47.69, 75.08, 51.28, 45.15, 72.15, 36.68, 46.21 
3830, No , 33-3031, 29.28, 26.27, 41.75, 48.23, 55.33, 17.80, 32.63, 57.05, 19.77, 28.30, 52.42, 12.20, 31.76 
3840, No , 33-3041, 33.37, 31.15, 48.32, 53.00, 66.60, 32.30, 41.09, 67.70, 34.30, 37.75, 62.71, 23.51, 39.86 
3850, Yes, 33-3051, 36.52, 35.36, 57.52, 60.26, 73.40, 46.74, 46.60, 73.44, 48.67, 43.85, 70.51, 34.89, 45.20 
3860, Yes, 33-3052, 23.57, 21.11, 41.33, 37.72, 45.73, 17.19, 30.27, 44.97, 18.53, 26.22, 45.65, 12.55, 30.67 
3900, No , 33-9011, 29.34, 25.70, 37.66, 49.54, 51.88, 9.32, 28.31, 54.75, 11.40, 23.27, 49.03, 5.87, 27.53 
3910, Yes, 33-9021, 28.53, 27.65, 43.28, 42.97, 52.57, 20.16, 33.32, 53.53, 23.59, 30.20, 51.64, 14.52, 33.26 
3920, Yes, 33-9030, 24.64, 22.13, 42.13, 39.84, 48.64, 18.07, 31.51, 47.83, 19.18, 27.10, 48.43, 13.09, 31.81 
3940, Yes, 33-9091, 16.96, 14.87, 32.89, 23.82, 20.30, 13.15, 19.63, 21.85, 17.33, 20.02, 20.55, 10.46, 20.37 
3950, Yes, 33-909X, 31.62, 29.57, 44.28, 51.25, 58.94, 23.80, 35.43, 60.54, 26.78, 31.81, 56.20, 16.85, 34.41 
4000, Yes, 35-1011, 21.30, 22.67, 33.39, 33.37, 31.42, 10.14, 21.12, 34.69, 11.67, 17.85, 26.67, 7.24, 19.87 
4010, Yes, 35-1012, 36.45, 41.26, 44.00, 52.70, 64.45, 26.71, 38.91, 68.72, 30.50, 36.52, 56.84, 16.39, 35.33 
4020, Yes, 35-2010, 17.52, 18.02, 30.44, 28.23, 22.60, 5.91, 16.42, 25.59, 6.91, 12.98, 18.74, 4.91, 15.85 
4030, Yes, 35-2021, 18.06, 18.14, 23.47, 29.12, 25.80, 6.04, 17.61, 31.01, 7.34, 14.49, 23.90, 5.38, 18.47 
4040, No , 35-3011, 23.96, 22.71, 24.53, 34.00, 47.00, 7.87, 26.39, 55.97, 10.81, 23.66, 38.23, 5.90, 24.53 
4050, Yes, 35-3021, 18.43, 20.13, 26.19, 30.55, 32.77, 5.88, 20.07, 42.28, 7.91, 17.81, 29.82, 5.00, 20.50 
4060, No , 35-3022, 23.78, 26.74, 27.64, 37.23, 37.67, 9.44, 23.65, 44.33, 14.92, 22.38, 34.43, 6.61, 23.24 
4110, Yes, 35-3031, 18.93, 22.23, 28.08, 32.14, 40.74, 6.01, 22.99, 55.16, 8.91, 21.80, 36.95, 4.94, 23.23 
4120, Yes, 35-3041, 20.01, 19.02, 21.41, 33.10, 26.52, 6.62, 18.09, 27.71, 7.56, 13.27, 26.35, 5.98, 19.81 
4130, Yes, 35-9011, 18.82, 16.51, 21.43, 32.05, 24.25, 6.00, 17.13, 24.00, 6.24, 11.54, 24.61, 5.71, 19.19 
4140, No , 35-9021, 18.32, 16.96, 17.30, 29.02, 20.67, 5.88, 15.55, 21.24, 6.04, 10.52, 20.58, 5.84, 17.60 
4150, Yes, 35-9031, 27.01, 28.82, 33.98, 41.97, 47.17, 16.28, 29.38, 51.84, 19.54, 26.76, 41.56, 10.80, 27.68 
4160, No , 35-9099, 18.54, 17.27, 16.90, 29.17, 21.34, 6.20, 15.94, 21.46, 6.36, 10.67, 21.26, 6.10, 18.02 
4200, No , 37-1011, 21.78, 21.26, 33.09, 34.58, 33.99, 18.75, 26.60, 38.35, 22.80, 26.38, 25.96, 8.41, 21.07 
4210, Yes, 37-1012, 33.57, 35.55, 41.38, 49.28, 54.54, 29.44, 36.22, 55.13, 33.16, 33.92, 56.51, 14.77, 34.06 
4220, Yes, 31-201X, 17.81, 15.52, 22.23, 27.22, 21.02, 10.87, 18.94, 24.14, 12.55, 17.70, 17.03, 7.67, 17.13 
4230, Yes, 37-2012, 16.35, 15.16, 21.50, 23.23, 18.05, 8.14, 15.72, 24.02, 10.82, 16.25, 15.70, 6.66, 15.48 
4240, Yes, 37-2021, 19.55, 18.63, 32.92, 33.02, 36.06, 16.77, 27.16, 37.02, 17.92, 24.06, 36.11, 7.76, 25.02 
4250, Yes, 37-3010, 19.27, 16.12, 28.59, 31.02, 26.44, 10.89, 21.22, 25.46, 10.93, 16.76, 37.66, 9.63, 26.76 
4300, Yes, 39-1010, 42.88, 47.98, 45.82, 58.74, 67.37, 43.39, 43.53, 69.32, 52.21, 43.84, 65.09, 26.51, 41.25 
4320, Yes, 39-1021, 37.83, 35.41, 50.18, 58.99, 73.97, 35.57, 46.82, 74.26, 41.93, 43.19, 73.94, 33.54, 48.39 
4340, Yes, 39-2011, 39.03, 37.69, 30.26, 41.22, 49.41, 20.83, 31.09, 47.38, 24.69, 27.00, 53.02, 16.63, 33.47 
4350, Yes, 39-2021, 22.68, 18.89, 21.30, 37.39, 41.65, 7.94, 24.70, 37.97, 10.74, 19.70, 43.69, 5.89, 26.26 
4400, Yes, 39-3010, 27.23, 28.33, 29.63, 38.94, 42.74, 13.00, 27.20, 46.99, 17.13, 25.39, 41.80, 10.76, 28.17 
4410, No , 39-3021, 32.92, 30.87, 39.34, 49.85, 55.64, 30.81, 37.13, 55.08, 33.12, 34.45, 56.88, 18.99, 36.65 
4420, No , 39-3031, 26.07, 21.93, 22.81, 43.15, 43.42, 12.28, 27.70, 40.28, 13.57, 22.12, 51.12, 10.23, 31.42 
4430, Yes, 39-3090, 28.46, 25.90, 27.74, 38.53, 45.30, 14.19, 28.94, 47.57, 16.76, 25.53, 44.58, 11.79, 30.01 
4460, No , 39-4000, 32.83, 30.76, 28.42, 40.24, 48.00, 14.97, 29.60, 52.58, 17.71, 26.39, 46.05, 11.48, 30.22 
4500, No , 39-5011, 20.43, 18.20, 35.71, 30.00, 33.40, 13.71, 25.15, 31.43, 15.71, 21.69, 41.10, 8.79, 27.54 
4510, Yes, 39-5012, 20.24, 27.16, 35.46, 28.04, 41.31, 11.26, 26.59, 48.56, 20.84, 28.21, 40.63, 8.79, 27.38 
4520, Yes, 39-5090, 22.95, 29.25, 39.15, 30.18, 43.71, 13.64, 28.56, 49.72, 22.73, 29.57, 43.94, 11.18, 29.63 
4530, Yes, 39-6010, 19.81, 17.48, 23.96, 29.67, 29.00, 11.57, 21.79, 31.95, 13.61, 20.01, 25.28, 9.03, 20.87 
4540, Yes, 39-6020, 26.29, 23.04, 28.44, 47.87, 58.59, 13.62, 32.95, 57.96, 17.32, 28.37, 59.14, 10.84, 34.31 
4550, Yes, 39-6030, 35.59, 23.96, 35.04, 50.50, 59.67, 30.99, 37.49, 59.25, 32.69, 33.93, 57.90, 30.25, 38.48 
4600, Yes, 39-9011, 22.76, 24.14, 35.20, 32.58, 40.50, 5.95, 22.77, 47.61, 10.31, 21.42, 39.83, 5.91, 24.98 
4610, Yes, 39-9021, 22.18, 21.10, 38.53, 27.84, 35.03, 8.55, 22.82, 50.16, 13.45, 24.26, 32.39, 8.43, 24.09 
4620, Yes, 39-9030, 50.64, 51.96, 42.77, 56.46, 71.19, 23.94, 39.85, 75.27, 30.45, 37.57, 68.29, 16.67, 39.29 
4640, Yes, 39-9041, 24.95, 26.55, 33.05, 33.53, 38.32, 8.59, 24.08, 48.27, 10.74, 21.88, 36.69, 8.21, 25.68 
4650, Yes, 39-9099, 21.82, 20.71, 27.56, 29.28, 31.42, 9.77, 21.57, 38.32, 12.73, 20.89, 29.82, 8.45, 22.44 
4700, Yes, 41-1011, 47.44, 55.01, 43.74, 50.67, 59.48, 30.28, 38.24, 62.90, 38.11, 37.90, 53.36, 15.51, 34.37 
4710, Yes, 41-1012, 48.63, 55.97, 45.36, 52.99, 62.22, 33.79, 40.05, 65.41, 41.91, 39.90, 56.38, 18.25, 36.18 
4720, Yes, 41-2010, 21.82, 26.12, 29.75, 33.35, 34.22, 7.32, 21.82, 43.46, 12.55, 22.24, 31.10, 6.05, 22.10 
4740, Yes, 41-2021, 26.58, 30.39, 33.00, 36.63, 42.84, 11.84, 27.21, 52.84, 19.28, 28.26, 37.01, 7.92, 25.50 
4750, Yes, 41-2022, 42.23, 44.38, 35.24, 46.13, 45.85, 21.15, 30.80, 46.38, 23.19, 27.42, 42.80, 11.33, 27.71 
4760, Yes, 41-2031, 28.34, 32.34, 31.49, 41.77, 50.21, 14.91, 30.60, 57.77, 21.30, 30.17, 44.94, 9.56, 28.92 
4800, Yes, 41-3011, 58.98, 61.18, 39.55, 66.25, 79.66, 35.39, 46.88, 82.50, 43.36, 45.05, 76.80, 28.61, 46.42 
4810, Yes, 41-3021, 53.43, 54.57, 44.85, 66.00, 76.49, 45.02, 47.45, 82.35, 55.97, 48.90, 64.79, 25.54, 41.02 
4820, Yes, 41-3031, 69.17, 70.63, 51.95, 78.10, 85.67, 53.46, 54.28, 88.97, 61.48, 54.18, 76.19, 34.32, 47.47 
4830, Yes, 41-3041, 39.08, 38.09, 35.34, 57.00, 69.64, 22.62, 39.65, 69.64, 36.35, 38.90, 68.57, 16.66, 39.90 
4840, Yes, 41-3099, 41.69, 46.45, 33.09, 56.13, 66.89, 33.97, 41.39, 70.80, 42.01, 40.99, 62.50, 23.10, 39.36 
4850, Yes, 41-4010, 48.98, 51.24, 46.93, 60.76, 67.20, 40.83, 43.08, 69.49, 46.34, 42.18, 61.59, 24.60, 39.62 
4900, Yes, 41-9010, 27.03, 39.34, 27.62, 37.17, 51.03, 20.29, 33.01, 61.42, 30.03, 34.72, 47.70, 17.08, 33.11 
4920, Yes, 41-9020, 51.63, 55.88, 48.45, 63.64, 78.03, 40.03, 47.13, 82.03, 48.07, 46.36, 73.04, 33.01, 45.80 
4930, No , 41-9031, 78.16, 77.08, 53.16, 87.00, 91.21, 72.51, 61.99, 91.21, 74.46, 59.62, 86.29, 49.00, 55.55 
4940, Yes, 41-9041, 34.91, 40.66, 30.73, 48.15, 60.23, 25.81, 37.06, 66.56, 34.47, 37.32, 55.54, 17.90, 35.39 
4950, Yes, 41-9091, 26.55, 31.24, 23.26, 37.91, 48.58, 18.63, 31.58, 51.95, 24.34, 30.15, 46.71, 14.22, 31.71 
4960, Yes, 41-9099, 34.08, 39.33, 36.27, 44.88, 54.29, 21.38, 33.93, 61.99, 30.09, 34.71, 48.66, 12.87, 31.51 
5000, Yes, 43-1011, 37.31, 46.66, 48.27, 52.60, 62.76, 33.08, 39.78, 69.84, 47.77, 42.74, 59.47, 22.17, 38.24 
5010, Yes, 43-2011, 21.91, 33.96, 39.55, 31.04, 41.13, 11.89, 26.85, 58.89, 21.72, 30.78, 38.25, 9.81, 27.13 
5020, No , 43-2021, 21.93, 33.95, 39.54, 31.07, 41.16, 11.95, 26.88, 58.89, 21.83, 30.81, 38.27, 9.82, 27.15 
5030, Yes, 43-2099, 26.73, 31.50, 40.50, 36.84, 55.03, 19.57, 33.19, 65.37, 33.17, 36.23, 50.92, 11.13, 31.54 
5100, No , 43-3011, 38.15, 41.41, 32.20, 46.56, 60.62, 21.13, 35.58, 70.17, 30.76, 36.72, 56.02, 13.26, 33.82 
5110, Yes, 43-3021, 27.14, 34.69, 32.25, 36.51, 50.91, 11.40, 29.40, 66.30, 24.58, 33.45, 47.96, 8.21, 29.24 
5120, Yes, 43-3031, 30.45, 43.95, 46.39, 38.16, 55.22, 12.24, 31.25, 72.92, 24.14, 35.17, 53.40, 10.92, 32.48 
5130, Yes, 43-3041, 21.40, 25.63, 29.45, 33.00, 33.40, 6.98, 21.41, 42.56, 12.03, 21.78, 30.36, 5.90, 21.76 
5140, Yes, 43-3051, 27.38, 33.41, 41.71, 36.00, 53.00, 12.79, 30.85, 63.65, 27.49, 34.31, 51.00, 10.81, 31.70 
5150, No , 43-3061, 25.23, 23.03, 27.43, 37.00, 39.17, 13.71, 27.07, 40.13, 17.65, 24.82, 38.23, 7.87, 25.98 
5160, No , 43-3071, 29.33, 35.61, 43.28, 35.00, 50.00, 4.88, 24.79, 70.68, 11.82, 27.78, 48.00, 4.88, 26.79 
5200, Yes, 43-4011, 31.47, 37.93, 33.52, 40.13, 52.60, 13.65, 31.04, 64.90, 25.46, 33.66, 48.46, 10.03, 30.43 
5210, Yes, 43-4021, 32.93, 40.22, 34.86, 45.00, 59.87, 11.82, 32.51, 71.50, 30.36, 37.32, 57.93, 7.87, 32.24 
5220, Yes, 43-4031, 32.41, 40.05, 33.03, 51.00, 63.65, 20.59, 37.07, 70.68, 38.23, 39.81, 60.83, 13.71, 36.12 
5230, Yes, 43-4041, 43.98, 51.64, 41.04, 51.63, 63.26, 16.25, 35.46, 74.96, 31.95, 38.72, 58.76, 10.72, 34.10 
5240, Yes, 43-4051, 39.16, 43.40, 37.60, 47.77, 57.96, 20.51, 34.92, 65.56, 32.27, 36.43, 54.56, 13.85, 33.76 
5250, No , 43-4061, 49.94, 53.97, 48.32, 61.91, 74.82, 25.91, 42.05, 85.10, 35.60, 42.83, 71.56, 19.87, 41.66 
5260, Yes, 43-4071, 25.93, 30.54, 36.47, 37.23, 47.61, 8.71, 27.02, 60.04, 14.08, 26.53, 44.66, 7.45, 27.76 
5300, Yes, 43-4081, 25.38, 29.10, 31.93, 40.00, 53.99, 5.90, 26.94, 66.60, 7.87, 23.30, 49.00, 4.88, 27.10 
5310, Yes, 43-4111, 35.80, 43.48, 46.92, 43.50, 58.91, 11.57, 31.77, 72.75, 20.56, 33.40, 55.88, 8.89, 32.03 
5320, Yes, 43-4121, 44.80, 42.36, 29.28, 52.00, 65.70, 6.85, 31.47, 72.51, 7.87, 24.76, 63.65, 5.90, 32.75 
5330, No , 43-4131, 40.44, 48.06, 37.56, 49.81, 61.17, 16.67, 34.94, 72.33, 32.32, 38.18, 56.99, 11.21, 33.77 
5340, Yes, 43-4141, 36.20, 43.92, 48.79, 44.00, 60.83, 11.82, 32.82, 74.46, 20.59, 34.02, 56.95, 8.79, 32.53 
5350, Yes, 43-4151, 29.14, 31.27, 31.96, 38.63, 50.08, 17.69, 31.82, 56.84, 26.40, 32.28, 47.48, 13.38, 31.54 
5360, Yes, 43-4161, 31.75, 40.15, 35.96, 39.00, 56.02, 12.84, 31.79, 75.28, 33.30, 39.37, 53.02, 8.84, 31.32 
5400, Yes, 43-4171, 29.32, 37.49, 38.42, 37.30, 49.34, 6.73, 26.07, 64.73, 15.78, 28.93, 48.92, 6.36, 28.28 
5410, Yes, 43-4181, 36.37, 36.51, 34.82, 52.59, 64.35, 19.98, 36.94, 66.52, 31.91, 36.21, 62.82, 14.60, 37.04 
5420, Yes, 43-4199, 34.75, 42.85, 35.58, 45.39, 62.20, 18.72, 35.87, 72.94, 35.62, 39.48, 58.73, 13.79, 35.24 
5500, No , 43-5011, 23.07, 20.90, 32.71, 34.00, 34.30, 13.71, 25.48, 34.30, 15.71, 22.39, 34.30, 7.87, 24.64 
5510, Yes, 43-5021, 24.13, 20.71, 23.48, 37.81, 45.62, 16.33, 29.87, 47.46, 17.77, 26.33, 42.62, 12.59, 29.66 
5520, Yes, 43-5030, 31.09, 32.53, 35.60, 44.22, 48.68, 21.01, 32.50, 49.19, 29.12, 31.79, 48.39, 10.73, 30.77 
5530, Yes, 43-5041, 23.88, 20.84, 34.00, 37.00, 43.05, 24.60, 31.84, 42.07, 25.54, 28.91, 47.00, 15.71, 32.48 
5540, No , 43-5051, 30.09, 29.73, 41.97, 53.70, 55.58, 53.45, 41.83, 58.46, 59.26, 43.65, 51.68, 47.46, 41.27 
5550, Yes, 43-5052, 27.91, 25.23, 46.90, 54.00, 55.01, 48.18, 40.65, 57.01, 53.20, 41.43, 51.03, 33.83, 38.42 
5560, Yes, 43-5053, 30.25, 29.92, 42.20, 54.00, 55.97, 53.99, 42.08, 58.90, 59.87, 43.96, 52.00, 48.00, 41.51 
5600, No , 43-5061, 35.94, 35.96, 41.59, 44.36, 54.64, 24.32, 34.82, 58.99, 35.30, 35.76, 51.13, 13.85, 32.66 
5610, Yes, 43-5071, 23.67, 22.33, 32.78, 34.39, 35.96, 13.54, 25.92, 37.00, 16.48, 23.35, 35.75, 7.97, 25.17 
5620, Yes, 43-5081, 23.67, 21.54, 26.00, 37.32, 35.13, 12.04, 24.77, 36.76, 15.53, 22.38, 33.67, 7.29, 23.83 
5630, Yes, 43-5111, 25.07, 24.31, 28.01, 35.75, 37.09, 15.60, 27.06, 37.69, 21.39, 26.00, 36.45, 8.43, 25.70 
5700, Yes, 43-6010, 34.88, 47.88, 46.15, 38.31, 55.19, 10.93, 30.50, 67.79, 21.11, 32.54, 55.39, 10.05, 32.67 
5800, Yes, 43-9011, 36.70, 37.02, 50.21, 46.93, 62.55, 20.53, 36.68, 73.27, 33.29, 38.80, 55.85, 11.78, 33.65 
5810, Yes, 43-9021, 23.55, 30.70, 41.27, 31.27, 55.19, 8.12, 28.92, 71.56, 17.84, 31.83, 52.24, 6.99, 29.84 
5820, No , 43-9022, 25.22, 28.68, 40.03, 35.00, 53.99, 9.80, 29.68, 70.68, 18.69, 32.01, 53.00, 8.79, 31.28 
5830, Yes, 43-9031, 28.05, 31.42, 41.36, 37.69, 56.49, 11.71, 31.37, 72.19, 20.53, 33.31, 55.50, 10.31, 32.88 
5840, Yes, 43-9041, 44.47, 33.87, 41.99, 48.80, 63.40, 17.79, 35.84, 80.20, 35.51, 41.60, 58.32, 12.14, 34.54 
5850, Yes, 43-9051, 27.10, 26.36, 31.93, 37.17, 41.72, 12.27, 27.01, 45.69, 16.24, 25.00, 37.96, 7.88, 25.63 
5860, Yes, 43-9061, 29.23, 35.48, 33.93, 38.56, 51.53, 11.94, 30.00, 61.75, 23.21, 32.05, 49.71, 8.96, 30.31 
5900, Yes, 43-9071, 25.63, 27.40, 37.62, 37.85, 45.92, 14.97, 28.66, 52.74, 21.02, 28.20, 41.28, 11.27, 27.31 
5910, Yes, 43-9081, 27.07, 42.81, 41.45, 44.98, 66.28, 15.56, 36.22, 74.71, 24.35, 35.80, 63.23, 12.50, 36.41 
5920, Yes, 43-9111, 31.26, 37.40, 37.50, 44.00, 63.65, 23.51, 37.92, 73.50, 40.13, 41.22, 58.90, 14.68, 35.86 
5930, Yes, 43-9199, 32.31, 39.91, 34.63, 45.78, 58.97, 17.17, 34.29, 67.94, 32.53, 37.03, 56.41, 12.14, 33.86 
6000, Yes, 45-1010, 27.54, 26.36, 42.80, 41.32, 34.59, 20.52, 27.75, 34.55, 21.37, 25.16, 38.81, 10.52, 27.32 
6010, No , 45-2011, 40.36, 40.86, 49.18, 59.11, 67.27, 40.35, 42.86, 68.24, 45.91, 41.40, 66.92, 27.17, 42.02 
6020, Yes, 45-2021, 26.29, 24.73, 41.42, 38.89, 35.76, 19.51, 28.00, 34.80, 20.56, 25.02, 41.43, 12.92, 29.61 
6040, Yes, 45-2041, 19.08, 18.27, 33.58, 27.41, 21.98, 11.58, 18.59, 25.94, 14.99, 18.58, 20.19, 7.33, 17.22 
6050, Yes, 45-2090, 18.01, 15.11, 25.01, 28.37, 19.99, 8.64, 16.72, 18.96, 8.82, 12.24, 25.89, 5.98, 19.70 
6100, No , 45-3011, 22.77, 21.60, 34.36, 33.38, 26.96, 26.74, 26.87, 26.90, 26.95, 25.79, 27.66, 16.39, 25.70 
6110, No , 45-3021, 18.27, 15.62, 23.11, 32.95, 27.69, 9.12, 19.84, 28.34, 9.44, 15.23, 25.16, 6.17, 19.77 
6120, Yes, 45-4011, 33.63, 31.32, 36.44, 36.58, 39.85, 14.94, 27.52, 38.14, 15.87, 23.10, 49.51, 6.76, 28.66 
6130, Yes, 45-4020, 19.04, 17.10, 31.11, 28.75, 20.04, 19.52, 21.84, 19.12, 19.75, 20.22, 26.37, 10.93, 23.20 
6200, Yes, 47-1011, 38.59, 42.72, 52.62, 49.47, 40.87, 46.22, 35.98, 40.88, 46.52, 35.97, 49.22, 30.47, 36.78 
6210, No , 47-2011, 25.51, 26.00, 39.64, 41.00, 31.43, 46.01, 32.82, 32.30, 47.00, 34.19, 11.82, 36.35, 22.77 
6220, Yes, 47-2020, 22.64, 22.17, 36.09, 29.09, 19.77, 33.28, 25.42, 19.76, 33.27, 26.13, 27.48, 17.78, 26.44 
6230, Yes, 47-2031, 22.57, 21.41, 38.88, 34.01, 31.42, 25.50, 28.29, 30.77, 25.69, 26.44, 37.51, 16.66, 29.69 
6240, Yes, 47-2040, 22.76, 21.62, 34.62, 31.48, 25.01, 26.95, 26.15, 24.89, 27.47, 25.49, 34.57, 11.86, 25.93 
6250, No , 47-2050, 21.27, 20.29, 37.43, 29.04, 17.87, 29.03, 23.54, 17.87, 29.03, 23.99, 32.30, 26.21, 30.60 
6260, Yes, 47-2061, 18.57, 15.97, 36.37, 29.12, 24.78, 21.56, 24.65, 23.73, 21.64, 22.75, 32.49, 14.71, 27.31 
6300, No , 47-2071, 21.03, 20.17, 33.83, 27.15, 16.03, 24.91, 21.46, 16.03, 24.91, 21.59, 23.55, 28.89, 27.65 
6310, No , 47-2072, 20.56, 18.64, 35.67, 30.00, 23.51, 21.59, 24.19, 23.51, 21.59, 22.68, 32.30, 18.69, 28.57 
6320, Yes, 47-2073, 21.40, 20.69, 45.62, 31.67, 19.93, 31.26, 24.95, 19.21, 31.89, 25.40, 34.79, 23.59, 30.68 
6330, Yes, 47-2080, 23.61, 23.42, 34.57, 30.27, 20.41, 28.30, 24.53, 19.50, 28.31, 24.17, 22.65, 14.81, 23.34 
6350, Yes, 47-2111, 30.88, 31.71, 50.59, 44.77, 45.79, 41.92, 36.56, 45.79, 42.90, 35.76, 46.08, 29.45, 35.74 
6360, No , 47-2121, 25.29, 24.92, 30.08, 34.47, 28.67, 27.59, 27.71, 28.50, 28.83, 26.95, 37.41, 11.92, 27.62 
6400, No , 47-2130, 27.90, 29.06, 32.64, 33.94, 26.46, 30.23, 27.62, 26.46, 31.29, 27.42, 29.36, 17.67, 27.19 
6420, No , 47-2141, 20.80, 18.69, 33.91, 31.01, 28.52, 20.60, 25.84, 27.51, 21.61, 23.78, 40.15, 12.81, 29.17 
6430, No , 47-2142, 23.40, 22.65, 31.14, 37.00, 41.10, 26.50, 31.74, 37.29, 29.32, 29.38, 53.00, 19.62, 35.60 
6440, Yes, 47-2150, 27.07, 27.84, 44.36, 37.78, 31.30, 38.43, 31.18, 31.29, 38.43, 31.10, 36.77, 27.37, 32.39 
6460, No , 47-2161, 21.55, 20.92, 34.91, 31.00, 18.69, 31.43, 24.48, 18.69, 30.36, 24.75, 31.43, 35.21, 32.27 
6500, Yes, 47-2171, 25.59, 25.70, 40.66, 34.79, 26.92, 36.96, 29.10, 26.92, 36.96, 29.26, 19.56, 19.33, 22.84 
6510, No , 47-2181, 19.76, 18.01, 37.15, 27.01, 17.68, 21.59, 21.47, 17.68, 21.59, 20.79, 30.37, 20.58, 28.43 
